Country|City|Code|Name
INDONESIA|AMBON|AMQ|PATTIMURA AIRPORT
NETHERLANDS|AMSTERDAM|AMS|AMSTERDAM AIRPORT SCHIPHOL
RUSSIA|AMDERMA|AMV|AMDERMA AIRPORT
NEW ZEALAND|ARDMORE|AMZ|ARDMORE AIRPORT
UNITED STATES|ANNISTON|ANB|ANNISTON METROPOLITAN AIRPORT
UNITED STATES|ANCHORAGE|ANC|TED STEVENS ANCHORAGE INTERNATIONAL AIRPORT
UNITED STATES|ANDERSEN|AND|ANDERSON REGIONAL AIRPORT
FRANCE|ANGERS MARCE|ANE|ANGERS-LOIRE AIRPORT
CHILE|ANTOFAGASTA|ANF|CERRO MORENO AIRPORT
FRANCE|ANGOULEME|ANG|ANGOULEME-BRIE-CHAMPNIERS AIRPORT
UNITED STATES|ANIAK|ANI|ANIAK AIRPORT
TURKEY|ANKARA|ANK|ETIMESGUT AIR BASE
MADAGASCAR|ANTALAHA|ANM|ANTSIRABATO AIRPORT
UNITED STATES|ANNETTE ISLAND|ANN|ANNETTE ISLAND AIRPORT
UNITED STATES|ANNAPOLIS|ANP|LEE AIRPORT
UNITED STATES|ANGOLA|ANQ|TRI STATE STEUBEN COUNTY AIRPORT
BELGIUM|ANTWERP|ANR|ANTWERP INTERNATIONAL AIRPORT (DEURNE)
PERU|ANDAHUAYLAS|ANS|ANDAHUAYLAS AIRPORT
ANTIGUA AND BARBUDA|ANTIGUA|ANU|V.C. BIRD INTERNATIONAL AIRPORT
UNITED STATES|ANVIK|ANV|ANVIK AIRPORT
NORWAY|ANDOYA|ANX|ANDOYA AIRPORT
GERMANY|ALTENBURG|AOC|ALTENBURG-NOBITZ AIRPORT
TURKEY|ESKISSEHIR|AOE|ANADOLU AIRPORT
CHINA|ANSHAN|AOG|ANSHAN AIR BASE
UNITED STATES|LIMA|AOH|LIMA ALLEN COUNTY AIRPORT
ITALY|ANCONA|AOI|ANCONA FALCONARA AIRPORT
JAPAN|AOMORI|AOJ|AOMORI AIRPORT
GREECE|KARPATHOS|AOK|KARPATHOS AIRPORT
ARGENTINA|PASO DE LOS LIBRES|AOL|PASO DE LOS LIBRES AIRPORT
UNITED STATES|ALTOONA|AOO|ALTOONA BLAIR COUNTY AIRPORT
MALAYSIA|ALOR SETAR|AOR|SULTAN ABDUL HALIM AIRPORT
ITALY|AOSTA|AOT|AOSTA AIRPORT
LAOS|ATTOPEU|AOU|ATTOPEU AIRPORT
UNITED STATES|DENVER|APA|CENTENNIAL AIRPORT
UNITED STATES|NAPA|APC|NAPA COUNTY AIRPORT
UNITED STATES|NAPLES|APF|NAPLES MUNICIPAL AIRPORT
UNITED STATES|ABERDEEN|APG|PHILLIPS ARMY AIR FIELD
COLOMBIA|APIAY|API|GOMEZ NINO APIAY AIR BASE
FRENCH POLYNESIA|APATAKI|APK|APATAKI AIRPORT
MOZAMBIQUE|NAMPULA|APL|NAMPULA AIRPORT
UNITED STATES|ALPENA|APN|ALPENA COUNTY REGIONAL AIRPORT
COLOMBIA|CAREPA|APO|ANTONIO ROLDAN BETANCOURT AIRPORT
BRAZIL|ARAPIRACA|APQ|ARAPIRACA AIRPORT
SAMOA|FALEOLO|APW|FALEOLO INTERNATIONAL AIRPORT
ARGENTINA|ZAPALA|APZ|ZAPALA AIRPORT
BRAZIL|ARARACUARA|AQA|ARARAQUARA AIRPORT
GUATEMALA|SANTA CRUZ DES QUICHE|AQB|SANTA CRUZ DEL QUICHE AIRPORT
UNITED STATES|KLAWOCK|AQC|KLAWOCK SEAPLANE BASE
CHINA|ANQING|AQG|ANQING TIANZHUSHAN AIRPORT
SAUDI ARABIA|HAFR AL-BATIN|AQI|AL QAISUMAH HAFR AL BATIN AIRPORT
JORDAN|AQABA|AQJ|AQABA KING HUSSEIN INTERNATIONAL AIRPORT
PERU|AREQUIPA|AQP|RODRIGUEZ BALLON INTERNATIONAL AIRPORT
UNITED STATES|LOUISIANA|ARA|ACADIANA REGIONAL AIRPORT
UNITED STATES|ANN ARBOR|ARB|ANN ARBOR MUNICIPAL AIRPORT
UNITED STATES|ARCTIC VILLAGE|ARC|ARCTIC VILLAGE AIRPORT
INDONESIA|ALOR ISLAND|ARD|MALI AIRPORT
PUERTO RICO|ARECIBO|ARE|ANTONIO NERY JUARBE POL AIRPORT
RUSSIA|ARKHANGELSK|ARH|TALAGI AIRPORT
CHILE|ARICA|ARI|CHACALLUTA AIRPORT
TANZANIA|ARUSHA|ARK|ARUSHA AIRPORT
AUSTRALIA|ARMIDALE|ARM|ARMIDALE AIRPORT
SWEDEN|STOCKHOLM|ARN|STOCKHOLM-ARLANDA AIRPORT
ARGENTINA|ALTO RIO SENGUER|ARR|D. CASIMIRO SZLAPELIS AIRPORT
UNITED STATES|WATERTOWN|ART|WATERTOWN INTERNATIONAL AIRPORT
BRAZIL|ARACATUBA|ARU|ARACATUBA AIRPORT
UNITED STATES|MINOCQUA - WOODRUFF|ARV|LAKELAND-NOBLE F. LEE MEMORIAL FIELD
ROMANIA|ARAD|ARW|ARAD INTERNATIONAL AIRPORT
AUSTRALIA|ARARAT|ARY|ARARAT AIRPORT
ERITREA|ASSAB|ASA|ASSAB INTERNATIONAL AIRPORT
TURKMENISTAN|ASHKHABAD|ASB|ASHGABAT AIRPORT
BAHAMAS|ANDROS TOWN|ASD|ANDROS TOWN AIRPORT
UNITED STATES|ASPEN|ASE|ASPEN-PITKIN CO SARDY FIELD
RUSSIA|ASTRAKHAN|ASF|ASTRAKHAN AIRPORT
UNITED STATES|NASHUA|ASH|BOIRE FIELD
SAINT HELENA|WIDE AWAKE|ASI|RAF ASCENSION ISLAND
JAPAN|AMAMI|ASJ|AMAMI AIRPORT
COTE D'IVOIRE|YAMOUSSOUKRO|ASK|YAMOUSSOUKRO AIRPORT
ERITREA|ASMARA|ASM|ASMARA INTERNATIONAL AIRPORT
UNITED STATES|TALLADEGA|ASN|TALLADEGA MUNICIPAL AIRPORT
ETHIOPIA|ASOSA|ASO|ASOSA AIRPORT
AUSTRALIA|ALICE SPRINGS|ASP|ALICE SPRINGS AIRPORT
TURKEY|KAYSERI|ASR|KAYSERI ERKILET AIRPORT
UNITED STATES|ASTORIA|AST|ASTORIA REGIONAL AIRPORT
PARAGUAY|ASUNCION|ASU|SILVIO PETTIROSSI INTERNATIONAL AIRPORT
KENYA|AMBOSELI NATIONAL PARK|ASV|AMBOSELI AIRPORT
EGYPT|ASWAN|ASW|ASWAN INTERNATIONAL AIRPORT
PERU|ANTA|ATA|COMANDANTE FAP GERMAN ARIAS GRAZIANI AIRPORT
SUDAN|ATBARA|ATB|ATBARA AIRPORT
BAHAMAS|ARTHUR'S TOWN|ATC|ARTHUR'S TOWN AIRPORT
SOLOMON ISLANDS|ATOIFI|ATD|URU HARBOUR AIRPORT
ECUADOR|AMBATO|ATF|CHACHOAN AIRPORT
PAKISTAN|KAMRA|ATG|MINHAS AIR BASE
